//Logs de consultas a los web service
//Organizacion
//RUTA | METODO | IP | FECHA
RUTA: /conexion/maquinas/ | METODO: GET | IP: ::1 | FECHA: 2019-11-21 21:10:27
RUTA: /conexion/maquinas/ | METODO: GET | IP: ::1 | FECHA: 2019-11-21 14:11:43
RUTA: /conexion/maquinasa/ | METODO: GET | IP: ::1 | FECHA: 2019-11-21 14:12:21
RUTA: /conexion/actividades/ | METODO: DELETE | IP: ::1 | FECHA: 2019-11-21 14:12:35
RUTA: /conexion/mantenimiento | METODO: GET | IP: 172.16.24.117 | FECHA: 2019-11-21 14:13:06
RUTA: /conexion/actividades | METODO: GET | IP: ::1 | FECHA: 2019-11-21 14:13:44
RUTA: /conexion/mantenimiento | METODO: GET | IP: 172.16.24.117 | FECHA: 2019-11-21 14:24:58
RUTA: /conexion/actividades | METODO: GET | IP: 172.16.25.132 | FECHA: 2019-11-21 14:41:23
RUTA: /conexion/actividades | METODO: GET | IP: ::1 | FECHA: 2019-11-22 09:48:46
RUTA: /conexion/actividades | METODO: GET | IP: ::1 | FECHA: 2019-11-22 11:54:30
RUTA: /conexion/actividades | METODO: GET | IP: 172.16.6.184 | FECHA: 2019-11-22 12:38:33
RUTA: /conexion/actividades | METODO: GET | IP: 172.16.6.184 | FECHA: 2019-11-22 12:38:44
RUTA: /conexion/actividades/ | METODO: GET | IP: ::1 | FECHA: 2019-11-22 14:03:35
RUTA: /conexion/actividades/6 | METODO: GET | IP: ::1 | FECHA: 2019-11-22 14:03:43
RUTA: /conexion/actividades/6 | METODO: DELETE | IP: ::1 | FECHA: 2019-11-22 14:03:49
RUTA: /conexion/actividades/6 | METODO: GET | IP: ::1 | FECHA: 2019-11-22 14:03:54
RUTA: /conexion/actividades | METODO: GET | IP: ::1 | FECHA: 2019-11-22 14:03:58
RUTA: /conexion/actividades/5 | METODO: PUT | IP: ::1 | FECHA: 2019-11-22 14:24:01
RUTA: /conexion/actividades/5 | METODO: PUT | IP: ::1 | FECHA: 2019-11-22 14:24:33
RUTA: /conexion/actividades/5 | METODO: PUT | IP: ::1 | FECHA: 2019-11-22 14:27:47
RUTA: /conexion/actividades/5 | METODO: PUT | IP: ::1 | FECHA: 2019-11-22 14:28:22
RUTA: /conexion/actividades/5 | METODO: PUT | IP: ::1 | FECHA: 2019-11-22 14:29:26
RUTA: /conexion/actividades/5 | METODO: PUT | IP: ::1 | FECHA: 2019-11-22 14:29:41
RUTA: /conexion/actividades/5 | METODO: PUT | IP: ::1 | FECHA: 2019-11-22 14:33:14
